,level1,level2,level3
691,Shop & Service,Piercing Parlor,
692,Shop & Service,Pop-Up Shop,
693,Shop & Service,Print Shop,
694,Shop & Service,Public Bathroom,
695,Shop & Service,Real Estate Office,
696,Shop & Service,Record Shop,
697,Shop & Service,Recording Studio,
698,Shop & Service,Recycling Facility,
699,Shop & Service,Rental Service,
700,Shop & Service,Salon / Barbershop,
701,Shop & Service,Sauna / Steam Room,
702,Shop & Service,Shipping Store,
703,Shop & Service,Shoe Repair,
704,Shop & Service,Shopping Mall,
705,Shop & Service,Shopping Plaza,
706,Shop & Service,Skate Shop,
707,Shop & Service,Ski Shop,
708,Shop & Service,Smoke Shop,
709,Shop & Service,Smoothie Shop,
710,Shop & Service,Souvenir Shop,
711,Shop & Service,Spa,
712,Shop & Service,Sporting Goods Shop,
713,Shop & Service,Stationery Store,
714,Shop & Service,Storage Facility,
715,Shop & Service,Supplement Shop,
716,Shop & Service,Tailor Shop,
717,Shop & Service,Tanning Salon,
718,Shop & Service,Tattoo Parlor,
719,Shop & Service,Thrift / Vintage Store,
720,Shop & Service,Toy / Game Store,
721,Shop & Service,Travel Agency,
722,Shop & Service,Used Bookstore,
723,Shop & Service,Vape Store,
724,Shop & Service,Video Game Store,
725,Shop & Service,Video Store,
726,Shop & Service,Warehouse Store,
727,Shop & Service,Watch Shop,
728,Travel & Transport,Airport,Airport Food Court
729,Travel & Transport,Airport,Airport Gate
730,Travel & Transport,Airport,Airport Lounge
731,Travel & Transport,Airport,Airport Service
732,Travel & Transport,Airport,Airport Terminal
733,Travel & Transport,Airport,Airport Tram
734,Travel & Transport,Airport,Baggage Claim
735,Travel & Transport,Airport,Plane
736,Travel & Transport,Baggage Locker,
737,Travel & Transport,Bike Rental / Bike Share,
738,Travel & Transport,Boat Rental,
739,Travel & Transport,Boat or Ferry,
740,Travel & Transport,Border Crossing,
741,Travel & Transport,Bus Station,Bus Line
742,Travel & Transport,Bus Stop,
743,Travel & Transport,Cable Car,
744,Travel & Transport,Cruise,
745,Travel & Transport,Duty-free Shop,
746,Travel & Transport,General Travel,
747,Travel & Transport,Heliport,
748,Travel & Transport,Hotel,Bed & Breakfast
749,Travel & Transport,Hotel,Boarding House
750,Travel & Transport,Hotel,Hostel
751,Travel & Transport,Hotel,Hotel Pool
752,Travel & Transport,Hotel,Inn
753,Travel & Transport,Hotel,Motel
754,Travel & Transport,Hotel,Resort
755,Travel & Transport,Hotel,Vacation Rental
756,Travel & Transport,Intersection,
757,Travel & Transport,Light Rail Station,
758,Travel & Transport,Metro Station,
759,Travel & Transport,Moving Target,
760,Travel & Transport,Pier,
761,Travel & Transport,Port,
762,Travel & Transport,RV Park,
763,Travel & Transport,Rental Car Location,
764,Travel & Transport,Rest Area,
765,Travel & Transport,Road,
766,Travel & Transport,Taxi Stand,
767,Travel & Transport,Taxi,
768,Travel & Transport,Toll Booth,
769,Travel & Transport,Toll Plaza,
770,Travel & Transport,Tourist Information Center,
771,Travel & Transport,Train Station,Platform
772,Travel & Transport,Train Station,Train
773,Travel & Transport,Tram Station,
774,Travel & Transport,Transportation Service,
775,Travel & Transport,Travel Lounge,
776,Travel & Transport,Tunnel,
